cue,R1,R2,R3
deli,sandwich,meat,counter
delta,river,triangle,airline
demantia,memory,forgetfulness,elderly
demi,lovato,music,singer
demon,devil,exorcism,evil
demure,shy,reserved,modest
denier,fabric,measuremant,opinion
denim,jean,fabric,blue
depreciate,value,decrease,asset
derby,race,horse,hat
descendant,family,generation,inheritance
desirable,attractive,appealing,wanted
desmond,lost,tv show,island
dessicate,dry,dehydrate,shrivel
destroys,damage,ruin,break
devil,evil,mischievous,fire
devoted,loyal,dedicated,committed
devotee,worshiper,follower,faithful
devotion,love,dedication,commitmant
devout,religious,dedicated,prayer
dharma,peace,harmony,balance
dick,penis,male,insult
die,alive,death,murder
dignity,respect,honor,integrity
dildo,vibrator,sex,toy
dingo,australia,wild,hunter
directive,command,guideline,instruction
dirk,basketball,player,maverick
discarded,trash,waste,unwanted
disciple,follower,leader,student
dishonorable,shameful,unethical,deceitful
disobedience,rebellion,rule,defiance
disrobe,naked,undress,clothes
distinguished,classy,elegant,sophisticated
diva,singer,star,dramatic
divan,sofa,couch,furniture
divine,holy,godly,sacred
divinity,god,holiness,sacred
divorce,split,marriage,court
divorced,marriage,split,legal
dix,music,band,louisiana
docile,obedient,gentle,calm
doctrine,belief,teaching,principle
doe,deer,animal,female
dog,paw,bark,loyal
dogma,religion,belief,doctrine
dogmatic,opinionated,rigid,doctrine
doily,lace,decorative,table
dollar,money,cash,currency
domestic,house,pet,home
domesticated,pet,dog,cat
dominant,leader,control,power
don,key,unlock,door
dona,cake,party,celebrate
donate,charity,give,support
donating,charity,giving,help
donation,charity,giving,fundraiser
donkey,farm,animal,grass
donor,blood,charity,help
doomsday,destruction,fear,apocalypse
doorman,hotel,entrance,uniform
dorothy,wizard,oz,toto
dot,circle,art,polka
dotted,line,pattern,polka
dotty,polka dots,ladybug,circus
doze,sleep,nap,tired
dr,nurse,hospital,medicine
dracula,vampire,transylvania,fang
drape,curtain,window,fabric
drat,darn,frustration,exclamation
drawer,furniture,clothes,paper
dread,hair,fashion,dreadlock
dreamboat,romantic,ship,fantasy
dreamy,cloud,fantasy,sleep
dress,fashion,clothing,style
dressed,clothes,fashion,formal
dresser,clothes,storage,mirror
dressmaker,sewing,fabric,design
dressy,formal,elegant,attire
droopy,dog,ear,sad
duck-billed,platypus,animal,australia
duckbill,platypus,duck,bill
dude,chill,friend,casual
dumbo,elephant,circus,flying
dungaree,blue,overall,pocket
dungeon,dragon,adventure,treasure
duvet,bed,blanket,cozy
dy,death,life,end
dyke,wall,dam,river
décolletage,neckline,fashion,style
eaglet,bird,nest,learning
earnest,serious,honest,intent
earnestly,honestly,dedication,sincerely
earnestness,seriousness,honesty,dedication
earthling,alien,human,planet
east,west,north,south
easter,bunny,egg,holiday
easy,simple,quick,effort
easy-going,relaxed,carefree,chill
easygoing,relaxed,calm,chill
echidna,spiky,australia,monotreme
edger,lawn,mower,grass
edna,mode,fashion,classic
effeminate,weak,girly,soft
eighty,music,style,nostalgia
ejaculate,sperm,orgasm,seminal fluid
ejaculation,orgasm,pleasure,release
elan,car,company,sport
elder,wisdom,respect,experience
elderly,wisdom,respect,retiremant
elegance,classy,sophisticated,style
elegant,classy,fashionable,sophisticated
elephant,trunk,giant,strong
elijah,old testamant,prophet,biblical
elk,forest,antler,wild
ellipsis,dot,distance,omission
elope,wedding,secret,runaway
elvis,music,legend,rock and roll
embed,code,video,website
embellish,decorate,ornamant,enhance
embrace,hug,love,warmth
embroidery,needle,thread,design
embryo,developmant,life,human
emily,movie,actress,poem
eminent,famous,prominent,notable
empathetic,kindness,understanding,compassion
empathic,understanding,emotion,compassionate
empathize,understand,feeling,compassion
empathy,compassion,understanding,sympathy
emphatic,strong,conviction,emphasize
emphatize,understand,share,feeling
enamored,love,infatuated,romantic
endangered,specie,protection,extinction
endearmant,love,affectionate,pet name
endocrine,hormone,gland,system
engaged,ring,marriage,commitmant
engagemant,ring,love,commitmant
entice,attractiveness,lure,charm
enticing,attractive,tempting,alluring
environed,encircled,surrounded,trapped
eon,time,era,dusk
epoch,time,history,duration
equine,horse,rider,stable
era,time,history,past
erect,building,tall,strong
erection,building,tower,construction
eros,love,passion,greek
erotic,romance,sensual,desire
errand,supermarket,chore,shopping
erstwhile,past,former,previous
esau,brother,jacob,birthright
escort,service,protect,governmant
estate,house,mansion,property
esteemed,respect,honor,prestigious
estrogen,hormone,woman,
estuary,river,mouth,coastline
etiquette,manner,polite,rule
eu,country,union,europe
eucharist,bread,wine,communion
euro's,currency,europe,money
europe,france,italy,germany
european,france,italy,germany
eva,green,actress,heart
evangelical,church,christianity,gospel
evolution,change,adaptation,growth
evolve,change,grow,improve
ewe,sheep,wool,farm
ex,excellent,example,extra
ex-husband,divorce,marriage,past
ex-wife,marriage,divorce,history
exalt,praise,honor,glory
executive,business,leader,managemant
exists,here,now,live
exodus,moses,egypt,red sea
exquisite,elegant,beautiful,refined
extra,movie,actor,director
extra-marital,affair,cheating,marriage
extramarital,affair,cheating,spouse
extremity,limb,farthest,boundary
eyebrow,eye,hair,face
eyelash,mascara,beauty,long
eyelid,blink,sleep,eyelash
eyeliner,makeup,eye,pencil
eyeshadow,makeup,color,eye
eyre,book,charlotte bronte,governess
fabric,material,textile,cloth
facial,beauty,skin,care
factually,truth,information,accuracy
fad,fashion,trend,quickly
fails,mistake,learn,growth
faith,belief,trust,religion
faithful,loyal,devoted,trusting
faithfully,loyalty,trust,devotion
faithfulness,loyalty,devotion,trust
faithless,trust,betrayal,loyalty
falcon,bird,predator,flight
fallopian,tube,ovary,uterus
family,love,happiness,bond
fancy,dress,party,restaurant
fang,snake,teeth,vampire
farewell,goodbye,departure,emotional
fashion,clothes,style,designer
fashionable,clothes,style,trend
fashioned,vintage,style,classic
fashionista,clothes,style,trend
fasten,belt,safety,secure
fastener,screw,nail,button
fastening,button,zipper,velcro
fate,destiny,future,chance
father,dad,love,wisdom
fatherly,love,guidance,care
favor,like,request,preference
fawn,deer,forest,cute
fealty,loyalty,pledge,allegiance
feared,scared,dangerous,unknown
fearless,courage,brave,bold
feature,face,characteristic,attribute
fecund,fertile,productive,prolific
fedora,hat,style,classic
feeding,food,animal,baby
felicitation,congratulation,achievemant,happy
feline,cat,fur,purr
fella,man,guy,dude
fellatio,oral,sex,intimacy
fellow,friend,buddy,companion
fellowship,friendship,companionship,journey
felt,cloth,touch,emotion
female,male,girl,woman
feminine,strong,graceful,woman
feminism,equality,empowermant,woman
feminist,equality,empowermant,movemant
feral,animal,wildness,behavior
ferret,animal,pet,
fertile,soil,land,productive
fertility,soil,birth,life
fertilization,soil,plant,growth
fetish,desire,preference,obsession
fetus,baby,pregnancy,ultrasound
fiancee,marriage,love,engagemant
fiancé,love,ring,wedding
fiber,cable,diet,textile
fidelity,trust,loyalty,financial
fifty,dollar,cent,money
fighter,warrior,combat,protection
filly,horse,pony,young
filmy,movie,screen,actor
finch,bird,colorful,small
finesse,skill,sophistication,graceful
fink,rat,informant,suspect
finland,snow,sauna,lake
firehouse,firefighter,truck,red
fishtail,ocean,mermaid,hairstyle
fit,clothes,workout,puzzle
fitted,clothes,tailored,size
fitting,clothes,shoe,room
five,number,hand,alive
flaccid,limp,weak,lifeless
flannel,shirt,warm,plaid
flapper,roaring twenties,dance,fashion
flare,light,fire,emergency
flatmate,apartmant,roommate,rent
flattering,complimant,figure,clothes
flax,linen,seed,plant
fleece,sweater,warm,soft
fleetwood,mac,band,song
fling,sling,throw,launch
flipflops,beach,sand,summer
flirt,attraction,flirty,banter
flirting,love,date,fun
flock,bird,sheep,group
flooring,carpet,wood,tile
floppy,disk,computer,storage
fluff,soft,fluffy,pillow
fluffy,cloud,soft,cute
flung,throw,toss,launch
foal,horse,baby,gallop
foaming,ocean,wave,bubble
fold,crease,paper,origami
folded,paper,origami,crease
folding,paper,origami,laundry
folk,people,community,friendly
follicle,hair,fertility,skin
follower,social media,instagram,audience
follows,leader,social media,trend
fond,memory,love,affection
fondle,touch,caress,stroke
fondness,love,caring,affection
foodie,restaurant,delicious,cuisine
foot,shoe,walk,stand
footprint,beach,sand,track
footrest,chair,leg,comfort
footsie,sock,playful,flirting
footstool,foot,ottoman,support
footwear,shoe,sandal,boot
fop,circus,clown,silly
forebear,ancestor,family,root
forefather,ancestor,heritage,legacy
forehead,head,face,wrinkle
forename,name,surname,given
forensics,crime,solve,evidence
foreplay,kissing,touch,excitemant
forget,remember,forgive,memory
forgetful,memory,mistake,absentminded
forgetting,memory,mistake,learn
forgive,mistake,judgemant,release
forgiven,sin,remorse,absolution
