cue,R1,R2,R3
badness,evil,malice,harm
bagger,worker,pack,grocery
baggy,loose,clothes,fit
bah,expression,noise,sheep
bald,hairless,shiny,head
ball,sport,play,game
ballerina,dancer,perform,tutu
ballet,dance,shoe,perform
bambi,deer,disney,movie
bandana,headwear,scarf,style
bandicoot,marsupial,australia,small
bangladesh,dhaka,asia,country
banker,financial,money,business
baptism,christian,ceremony,water
baptist,church,religion,faith
baptize,christian,water,ritual
baratheon,stark,game,king
barber,haircut,shave,shop
barefoot,unshod,shoe,natural
bark,tree,sound,dog
baskerville,hound,sherlock,detective
baskervilles,hound,holmes,detective
basket,woven,carry,hold
basset,dog,hound,hunt
bassinet,cradle,baby,sleep
bat,flying,nocturnal,animal
bathrobe,sleepwear,warm,wear
battering,ram,damage,aggressive
batting,hit,cricket,sport
bdrm,sleep,room,furniture
beagle,dog,hound,sniff
beanie,winter,hat,warm
bear,wild,wood,large
beard,facial,hair,male
beasley,dog,detective,sherlock
beast,wild,dangerous,animal
beatles,lennon,music,band
beautician,hair,salon,style
beautiful,gorgeous,stunning,lovely
beauty,gorgeous,allure,charm
beaver,animal,water,build
beckon,signal,gesture,invite
bed,furniture,sleep,room
bedding,cover,sleep,bed
bedroom,sleep,furniture,room
bedsheets,linen,cover,sleep
bedspread,quilt,cover,bed
bedtime,night,sleep,routine
beelzebub,devil,demon,satan
behemoth,large,monster,biblical
beholder,eye,beauty,perceiver
behooves,necessary,required,duty
being,exist,life,form
belief,faith,religion,conviction
believable,trustworthy,credible,real
believer,faithful,church,group
believing,faith,trust,credence
bell-bottoms,fashion,pant,seventy
belle,beautiful,woman,charm
belly,midsection,front,area
belly button,navel,front,middle
belly-button,midriff,navel,hole
beloved,dear,cherished,loved
belt,fasten,waist,secure
ben,affleck,actor,movie
bending,flex,curve,shape
benediction,prayer,church,service
benevolence,goodwill,kindness,good
benevolent,kind,good,caring
bengal,tiger,cat,india
benjamin,franklin,money,hundred
besotted,infatuated,in love,smitten
beta,test,trial,version
bette,davis,actress,classic
better,improves,upgrade,enhances
beyoncé,singer,pop,music
bib,drool,infant,cloth
bible,god,book,
biblical,religious,scripture,testamant
bide,wait,endure,patience
billie,holiday,singer,jazz
billion,large,number,amount
billy,joel,singer,piano
bin,container,storage,trash
bind,tie,restrict,constrain
bingo,game,number,play
biological,nature,genetics,science
biped,walker,human,upright
birth,nativity,start,life
bisexual,orientation,sexual,attraction
bishop,clergy,church,christian
bison,animal,buffalo,wild
bitch,female,dog,derogatory
black,color,dark,absence
blanket,cover,warm,bedding
blazer,jacket,formal,clothes
bleat,sheep,sound,call
bless,praise,thank,grace
blessed,fortunate,lucky,holy
blessing,fortune,good,grace
blog,online,article,writing
bloke,man,guy,male
blondie,singer,pop,music
bloodsucker,vampire,leech,mosquito
bloomer,underwear,old-fashioned,woman
blot,stain,mark,spot
blouse,top,garmant,woman
blowjob,oral,sex,slang
blunt,straightforward,direct,honest
bobble,knit,hat,winter
body suit,one-piece,fashion,tight
bold,courageous,strong,fearless
bombshell,attractive,stunning,woman
bonbon,sweet,chocolate,treat
bond,james,spy,007
bondage,fetish,restraint,sexual
bonding,connection,emotional,close
boner,mistake,error,slip
bongo,drum,percussion,music
boning,sewing,reinforcemant,process
bonjour,hello,french,greeting
bonnet,headgear,hat,baby
bonnie,clyde,couple,crime
bonny,pretty,lovely,scottish
boob,breast,informal,single
booby,trap,bird,island
boot,footwear,shoe,leather
bop,dance,hit,jazz
bosom,chest,breast,woman
bottom,pant,rear,part
boudoir,bedroom,private,sultry
bouffant,hair,style,voluminous
boutique,shop,fashion,small
bovary,flaubert,novel,french
bow,tie,knot,ribbon
bowler,hat,head,sport
boxer,underwear,man,short
boyfriend,partner,male,significant
boyish,masculine,trait,young
bra,support,undergarmant,woman
braid,hair,style,plait
brainwashing,indoctrination,manipulation,mind
bram,stoker,dracula,author
brando,actor,streetcar,godfather
brassiere,undergarmant,support,chest
brave,courageous,valor,hero
braveheart,wallace,scotland,freedom
bravery,courage,heroism,valor
brazen,bold,unashamed,forward
breakup,end,split,separation
breast,mammary,chest,feed
breastfeed,nursing,mother,baby
breastfeeding,nursing,milk,baby
breathes,life,exists,inhales
breed,produce,offspring,create
breeding,procreate,reproduce,offspring
bridal,wedding,marriage,gown
bride,wedding,woman,gown
bridle,harness,horse,control
brimstone,fire,sulfur,hell
bristle,stiff,hair,brush
bro,male,friend,informal
bros,brother,male,friend
brothel,prostitution,house,sex
brother,sibling,male,kin
brotherhood,group,solidarity,male
brow,arch,facial,hair
bruce,willis,actor,die
brunette,hair,dark,color
brusque,abrupt,direct,harsh
buck,deer,male,money
buckle,fasten,belt,secure
bucolic,pastoral,rural,idyllic
buddhist,religion,meditation,temple
buddy,friend,pal,mate
buena,good,spanish,vibe
buffalo,large,mammal,horn
bull,male,cattle,strong
bullet-proof,vest,armor,protective
bungee,jumping,cord,thrill
bunny,rabbit,cute,pet
burlesque,show,dance,performance
burrow,animal,dig,hole
bus,kiss,cheek,quick
businessman,professional,suit,tie
bust,female,chest,measure
butch,masculine,tough,woman
button,closure,shirt,fasten
buxom,voluptuous,curvy,full
buzzy,busy,active,energetic
bye,farewell,parting,goodbye
bygone,past,old,era
cabinet,furniture,storage,room
cackle,laugh,sound,loud
cactus,desert,plant,spiky
cad,scoundrel,rogue,dishonest
caddy,shack,house,golf
cage,enclosure,animal,prison
cain,murder,bible,brother
caine,actor,movie,batman
calgary,canada,alberta,city
caller,visitor,phone,id
camaraderie,friendship,fellowship,bond
camelot,king,round,knight
canaveral,nasa,launch,florida
candid,honest,open,frank
candidly,frankly,honestly,openly
canine,dog,pet,furry
canning,preserving,jar,food
canterbury,tale,medieval,poet
cap,hat,head,cover
cape,superhero,garmant,neck
caped,hero,garmant,superhero
capybara,rodent,large,south america
cardigan,sweater,wool,warm
cardinal,bird,red,important
care,tenderness,nurture,attention
cared,loved,valued,cherished
caregiver,provider,helper,support
carer,provider,support,help
caress,gentle,touch,soft
caretaker,caregiver,guardian,provider
caribou,deer,canada,antler
caring,love,attention,support
carnation,flower,pink,milk
carotene,pigmant,vitamin,orange
carpet,flooring,cover,rug
carpeting,floor,cover,soft
carry,bear,hold,transport
cassia,spice,cinnamon,bark
castrate,neuter,remove,male
casual,relaxed,informal,easygoing
cat,feline,pet,animal
catechism,religious,education,teaching
cathedral,church,large,worship
catholic,religion,church,faith
catholicism,faith,religion,practice
caveman,prehistoric,ancient,man
celestial,heavenly,sky,space
celibacy,abstinence,purity,sex
celibate,abstinent,pure,no sex
centurion,roman,soldier,armor
century,hundred,time,long
ceremonial,formal,event,dress
ceremony,event,formal,rite
chain,link,bond,connection
chair,seat,furniture,sit
chanting,singing,religious,repetitive
chap,leather,leg,cowboy
chapeau,hat,headwear,style
chapel,religious,building,service
charisma,appeal,influence,power
charismatic,attractive,influence,leader
charitable,giving,generous,kind
charity,generosity,giving,help
charles,king,england,name
charleston,dance,city,south
charlotte's,web,book,spider
charm,enchant,delight,attractiveness
charming,allure,attract,delightful
chaste,pure,moral,virtuous
chastity,purity,virtue,moral
chaucer,tale,poet,medieval
cheetah,fast,animal,spotted
chelsea,football,london,club
cheney,dick,politician,vice
cherish,value,treasure,love
cherished,valued,loved,treasured
cherub,angel,baby,innocent
cherubic,angelic,baby,innocent
chest,upper,body,torso
chesterfield,sofa,smoke,furniture
chic,stylish,fashionable,trendy
childbirth,delivery,labor,mother
chimp,ape,africa,primate
chimpanzee,ape,primate,africa
chin,below,face,jaw
chino,pant,cotton,casual
chipmunk,small,animal,nut
chivalrous,courteous,knight,manner
chivalry,knight,manner,code
chopstick,utensil,eat,asian
christ,jesus,faith,bible
christen,baptize,name,ceremony
christening,baptism,ceremony,baby
christian,faith,follower,jesus
christianity,faith,god,church
chum,friend,buddy,pal
church,religious,building,community
ciao,goodbye,italian,greeting
civil,courteous,manner,society
civility,politeness,manner,respect
civilization,society,advanced,human
classic,traditional,enduring,style
classy,elegant,stylish,high
claw,sharp,animal,nail
cleanly,tidy,clean,neat
cleat,sport,shoe,spike
cleavage,bust,display,fashion
clergy,priest,religious,leader
clergyman,priest,church,man
cleric,priest,religious,man
clint,eastwood,actor,dirty
clipper,cut,nail,tool
clitoris,female,anatomy,part
cloak,garmant,cover,wear
clock,time,measure,face
cloister,monastery,quiet,secluded
closeness,intimacy,near,tight
closet,storage,clothes,room
clot,blood,thick,form
cloth,fabric,material,texture
clothe,dress,garmant,attire
clothed,dressed,garmant,wear
clothes,dressing,wearing,fashion
clothing,apparel,wear,fashion
cloven,split,hoof,divided
coat,outer,wear,garmant
coating,layer,protect,surface
cobble,stone,street,pave
cochlear,implant,hearing,device
cock,bird,rooster,farm
coif,hair,style,head
coiffure,hair,style,hairstyle
coliseum,arena,rome,ancient
collapsed,fell,broken,ruined
collectible,antique,memorabilia,valuable
collie,dog,breed,herding
colonial,period,history,british
colosseum,rome,italy,gladiator
colt,gun,revolver,firearm
com,internet,domain,website
comb,hair,tool,style
comfort,ease,solace,snug
comfortable,snug,ease,soft
comforter,bedding,warm,quilt
comforting,soothing,warm,reassuring
comfy,cozy,snug,soft
comma,punctuation,mark,grammar
commandmant,rule,religious,ten
commit,engage,involve,perform
commitmant,dedication,promise,devotion
committed,dedicated,faithful,relationship
communion,ritual,religious,bread
companion,friend,mate,buddy
companionship,relationship,closeness,friendship
compassion,empathy,care,feeling
compassionate,caring,kind,empathetic
compatriot,fellow,countryman,partner
complemant,complete,enhance,match
complexity,intricacy,difficulty,detail
compliant,obedient,submissive,willing
complimant,praise,flatter,nice
complimantary,free,praise,nice
comrade,friend,ally,group
conan,barbarian,warrior,
conceive,create,birth,think
conception,beginning,start,idea
concubine,mistress,secondary,ancient
condom,protection,sex,rubber
confederate,ally,south,old
confess,admit,reveal,secret
confession,admit,church,secret
congregation,follower,group,church
conqueror,victor,history,empire
conservative,traditional,old-fashioned,strict
considerate,thoughtful,kind,caring
consideration,thoughtfulness,empathy,respect
constricting,tight,squeeze,bind
contemporary,modern,current,style
contraception,birth,prevent,method
contraceptive,prevent,birth,method
contrition,remorse,repentance,sorrow
convenience,handy,useful,simple
convent,religious,nun,sister
convert,change,religion,adapt
conviction,belief,strong,moral
copulate,sex,reproduce,mate
copy,replica,imitation,duplicate
cord,wire,electric,tie
cordial,warm,friendly,welcoming
corsage,flower,prom,wrist
corset,undergarmant,tight,fashion
cosmetic,makeup,beauty,enhance
costello,abbott,comedy,
cot,bed,baby,small
cotton,fabric,material,soft
couch,sofa,relax,furniture
cougar,mature,woman,older
countryman,nation,fellow,people
couple,partner,together,pair
courage,bravery,valor,heroism
courageous,brave,bold,hero
courteous,polite,manner,respectful
courtesy,politeness,manner,respect
cousin,family,relative,kin
covalent,bond,chemistry,atom
covenant,promise,biblical,agreemant
cover,protect,shield,conceal
coverage,insurance,protection,policy
coverall,garmant,work,durable
covering,blanket,layer,protect
cowboy,western,rider,hat
cowgirl,female,western,rodeo
coyote,wild,animal,canine
cozy,warm,snug,comfortable
cradle,baby,bed,sleep
cramp,ache,manstrual,pain
crane,bird,lift,sky
cravat,necktie,formal,accessory
crazily,madly,wildly,excessively
crease,fold,fabric,line
creased,folded,fabric,clothes
creature,animal,life,diverse
credible,trustworthy,believable,reliable
credo,principle,belief,value
credulous,gullible,naive,easily
creed,belief,religion,system
crete,island,greece,mediterranean
crib,baby,bed,sleep
crinkle,wrinkle,paper,fabric
crinkled,wrinkled,paper,fabric
criss,cross,path,intersect
critter,animal,small,wild
croatia,country,balkan,europe
crochet,knit,yarn,needle
cromwell,english,civil,leader
cross,religious,symbol,christianity
crotch,area,between,leg
crucifix,christian,symbol,jesus
crucifixion,jesus,death,christian
crucify,nail,jesus,cross
crumple,fold,paper,wrinkle
crumpled,paper,folded,wrinkle
crusade,religious,war,campaign
crusader,warrior,religious,fighter
ctrl-z,undo,keyboard,computer
cub,young,animal,bear
cuckold,betrayed,husband,infidelity
cuddle,embrace,hold,warmth
cuddly,soft,plush,toy
cufflink,accessory,shirt,metal
cult,group,religious,follower
cultural,ethnic,tradition,society
culture,tradition,society,way
cum,seed,fluid,male
cunnilingus,oral,sex,act
cunt,offensive,slang,vulgarity
cupboard,storage,kitchen,furniture
cupid,love,arrow,mythology
curl,hair,bouncy,style
curler,hair,style,tool
curly,hair,style,bouncy
cursed,doomed,hexed,spell
curtain,window,drape,hang
curtsy,bow,polite,gesture
curvaceous,body,shapely,woman
curve,body,shape,line
curvy,body,shape,woman
cushion,soft,seat,comfort
cushioned,padded,soft,seat
cushy,comfortable,soft,easy
custom,habit,tradition,practice
cute,adorable,attractive,charming
cutoff,short,denim,pant
cutting,sharp,blade,tool
da,vinci,art,code
dad,father,male,parent
dada,art,movemant,abstract
daddy,father,affectionate,term
dainty,delicate,fragile,pretty
dallas,cowboy,texas,city
dalmatian,dog,spotted,breed
dame,title,woman,respect
damnation,hell,eternal,punishmant
damned,doomed,hell,fate
damsel,woman,distress,old
dancer,performer,stage,ballet
dandles,swing,baby,gently
dandy,stylish,man,neat
dapper,neat,sharp,smart
dappled,spotted,pattern,color
dare,challenge,bold,risk
daredevil,risk,stunt,bold
daring,bold,brave,adventure
darling,loved,dear,affectionate
darn,sew,fix,mand
darning,sewing,manding,activity
darwin,evolution,specie,science
dash,line,marked,path
dashed,crashed,broken,quick
dashing,smart,stylish,quick
date,romantic,outing,meet
dating,relationship,romance,love
daughter,child,female,offspring
davenport,sofa,city,furniture
deacon,church,official,assistant
dean,martin,actor,comedian
dear,beloved,cherished,valued
dearest,loved,valued,most
dearly,beloved,valued,greatly
debonair,stylish,suave,smooth
decade,ten,year,period
decency,morality,virtue,ethic
decor,interior,style,design
decorate,embellish,house,beautify
decorating,house,style,beautify
decorum,manner,propriety,decor
dee,singer,song,music
deer,animal,forest,graceful
deify,exalt,worship,admire
deity,god,sacred,worship
deletion,removal,erase,data
deli,shop,food,sandwich
delta,river,water,triangle
demantia,memory,loss,aging
demi,lovato,actress,singer
demon,evil,spirit,satanic
demure,reserved,modest,shy
denier,fabric,fiber,textile
denim,fabric,jean,material
depreciate,lessen,reduce,value
derby,race,horse,event
descendant,offspring,child,kin
desirable,wanted,attractive,sought
desmond,tutu,bishop,south
dessicate,dry,preserve,remove
destroys,ruin,end,obliterate
devil,evil,fallen,myth
devoted,loyal,dedicated,earnest
devotee,follower,believer,loyal
devotion,love,loyalty,fidelity
devout,pious,religious,earnest
dharma,teaching,religion,wheel
dick,slang,penis,vulgar
die,hard,action,movie
dignity,respect,honor,esteem
dildo,sex,toy,object
dingo,dog,australian,wild
directive,order,rule,guide
dirk,nowitzki,basketball,player
discarded,thrown,away,refuse
disciple,follower,student,teacher
dishonorable,unfair,shameful,act
disobedience,non-compliance,defiance,act
disrobe,undress,remove,clothes
distinguished,eminent,notable,respected
diva,star,famous,singer
divan,sofa,lounge,furniture
divine,godly,heavenly,perfect
divinity,god,holy,sacred
divorce,end,marriage,split
divorced,ended,marriage,split
dix,south,direction,compass
docile,tame,gentle,submissive
doctrine,belief,system,religious
doe,female,deer,animal
dog,canine,pet,animal
dogma,belief,doctrine,strict
dogmatic,unyielding,strict,belief
doily,lace,mat,decorative
dollar,currency,money,cash
domestic,home,tame,life
domesticated,tamed,animal,house
dominant,controlling,leading,assertive
don,gentleman,mister,title
dona,lady,title,respect
donate,give,charity,contribute
donating,giving,charity,contribute
donation,gift,money,charity
donkey,burro,animal,beast
donor,giver,contributor,benefactor
doomsday,apocalypse,end,prophecy
doorman,gatekeeper,building,entrance
dorothy,gale,wizard,oz
dot,spot,pattern,small
dotted,pattern,cloth,spot
dotty,spotted,quirky,pattern
doze,sleep,nap,rest
dr,house,medicine,tv
dracula,vampire,transylvania,novel
drape,window,covering,cloth
drat,exclaim,frustration,expression
drawer,storage,furniture,clothes
dread,fear,hairstyle,lock
dreamboat,handome,man,attractive
dreamy,idealistic,whimsical,soft
dress,gown,outfit,clothing
dressed,wearing,clothes,outfitted
dresser,furniture,clothes,bedroom
dressmaker,tailor,clothing,maker
dressy,formal,fancy,attire
droopy,saggy,cartoon,dog
duck-billed,platypus,animal,unique
duckbill,platypus,animal,beak
dude,man,guy,male
dumbo,elephant,cartoon,large
dungaree,jean,pant,denim
dungeon,and,dragon,game
duvet,bed,cover,blanket
dy,pas,away,cease
dyke,levee,water,barrier
décolletage,neckline,low,fashion
eaglet,young,eagle,bird
earnest,serious,sincere,dedicated
earnestly,seriously,deeply,truly
earnestness,seriousness,sincerity,depth
earthling,human,planet,being
east,timor,asia,direction
easter,holiday,resurrection,christian
easy,simple,straightforward,relaxed
easy-going,relaxed,laid-back,chill
easygoing,relaxed,laid-back,casual
echidna,spiny,mammal,australia
edger,tool,lawn,border
edna,moda,designer,fashion
effeminate,delicate,gentle,soft
eighty,decade,music,fashion
ejaculate,release,seman,fluid
ejaculation,release,seman,fluid
elan,luxury,car,style
elder,senior,respected,age
elderly,old,senior,age
elegance,beauty,grace,style
elegant,graceful,refined,beautiful
elephant,large,mammal,trunk
elijah,prophet,bible,jewish
elk,large,animal,antler
ellipsis,omission,dot,
elope,marry,secretly,runaway
elvis,presley,music,rock
embed,incorporate,integrate,include
embellish,decorate,adorn,beautify
embrace,hug,hold,affection
embroidery,stitch,needle,art
embryo,developmant,early,stage
emily,dickinson,poetry,writer
eminent,distinguished,prominent,noted
empathetic,compassionate,understanding,feeling
empathic,understanding,feeling,sensitive
empathize,understand,feel,share
empathy,feeling,understanding,share
emphatic,forceful,strong,expression
emphatize,sympathize,understand,relate
enamored,smitten,love,infatuated
endangered,at risk,specie,protect
endearmant,affection,term,loving
endocrine,gland,body,system
engaged,betrothed,promised,committed
engagemant,proposal,marriage,ring
entice,lure,attract,seduce
enticing,alluring,attractive,lure
environed,surrounded,environmant,nature
eon,age,long,time
epoch,time,period,significant
equine,horse,animal,
era,time,period,history
erect,upright,stiff,arousal
erection,arousal,physical,sexual
eros,love,greek,god
erotic,sensual,arousing,sexual
errand,chore,task,list
erstwhile,past,previous,former
esau,jacob,bible,brother
escort,accompany,date,service
estate,property,wealth,land
esteemed,respected,revered,admired
estrogen,hormone,female,biology
estuary,river,mouth,tidal
etiquette,manner,protocol,social
eu,union,country,europe
eucharist,religious,service,bread
euro's,currency,money,union
europe,continent,union,country
european,union,country,continent
eva,peron,argentina,first
evangelical,christian,preacher,zealous
evolution,developmant,progression,change
evolve,develop,adapt,grow
ewe,female,sheep,animal
ex,former,past,relationship
ex-husband,former,spouse,married
ex-wife,former,spouse,married
exalt,praise,elevate,glorify
executive,leader,corporate,senior
exists,life,being,
exodus,departure,mass,migration
exquisite,beautiful,perfect,delicate
extra,additional,more,surplus
extra-marital,affair,relationship,unfaithful
extramarital,affair,relationship,cheating
extremity,limb,end,body
eyebrow,facial,hair,arch
eyelash,eye,hair,blink
eyelid,blink,cover,eye
eyeliner,makeup,eye,cosmetic
eyeshadow,makeup,eye,color
eyre,bronte,book,novel
fabric,material,cloth,textile
facial,treatmant,care,beauty
factually,truthfully,accurately,reliably
fad,trend,craze,style
fails,unsuccessful,attempt,error
faith,belief,trust,religion
faithful,loyal,devoted,dedicated
faithfully,loyally,devotedly,earnestly
faithfulness,loyalty,devotion,adherence
faithless,unfaithful,disloyal,untrustworthy
falcon,bird,prey,swift
fallopian,tube,reproductive,ovary
family,relative,home,group
fancy,elaborate,ornate,lavish
fang,tooth,vampire,sharp
farewell,goodbye,parting,leave
fashion,style,trend,vogue
fashionable,stylish,trendy,chic
fashioned,old,traditional,style
fashionista,stylish,trendy,guru
fasten,secure,attach,fix
fastener,clip,button,secure
fastening,securing,binding,attaching
fate,destiny,luck,predestined
father,parent,dad,male
fatherly,guiding,nurturing,caring
favor,approval,support,backing
fawn,deer,young,light
fealty,loyalty,allegiance,
feared,intimidated,scared,worried
fearless,brave,undaunted,bold
feature,trait,characteristic,attribute
fecund,fruitful,productive,fertile
fedora,hat,style,accessory
feeding,nursing,giving,mother
felicitation,congratulation,greeting,cheer
feline,cat,domestic,animal
fella,guy,man,buddy
fellatio,oral,sex,act
fellow,peer,companion,colleague
fellowship,community,group,communion
felt,material,textile,soft
female,woman,lady,gender
feminine,womanly,soft,gentle
feminism,movemant,right,equality
feminist,advocate,right,gender
feral,wild,untamed,animal
ferret,small,mammal,pet
fertile,productive,prolific,rich
fertility,ability,procreate,productive
fertilization,process,conception,impregnation
fetish,obsession,sexual,intense
fetus,developing,unborn,embryo
fiancee,engaged,marry,woman
fiancé,engaged,marry,man
fiber,material,textile,thread
fidelity,loyalty,faithfulness,allegiance
fifty,number,age,decade
fighter,combatant,warrior,military
filly,young,horse,mare
filmy,transparent,sheer,light
finch,bird,small,colorful
finesse,skill,elegance,style
fink,informer,snitch,traitor
finland,helsinki,snow,country
firehouse,emergency,service,building
fishtail,hairstyle,braid,mermaid
fit,suitable,correct,appropriate
fitted,adapted,suited,clothing
fitting,appropriate,suitable,correct
five,number,digit,count
flaccid,limp,weak,soft
flannel,material,shirt,soft
flapper,twenty,dance,dress
flare,trouser,bright,fashion
flatmate,roommate,cohabitant,sharing
flattering,enhancing,attractive,beauty
flax,seed,plant,linen
fleece,material,soft,warm
fleetwood,mac,music,band
fling,brief,encounter,temporary
flipflops,casual,shoe,beach
flirt,coquettish,playful,tease
flirting,playful,suggestive,tease
flock,group,bird,gather
flooring,wood,tile,surface
floppy,soft,hat,bendable
fluff,soft,light,airy
fluffy,soft,cuddly,light
flung,thrown,tossed,hurled
foal,young,horse,newborn
foaming,bubbling,frothing,liquid
fold,crease,bend,paper
folded,creased,bent,paper
folding,crease,bend,paper
folk,people,family,group
follicle,hair,root,scalp
follower,devotee,adherent,fan
follows,obeys,adheres,abides
fond,affectionate,loving,tender
fondle,caress,touch,stroke
fondness,affection,liking,warmth
foodie,gourmet,eater,cuisine
foot,walking,toe,base
footprint,mark,evidence,trace
footrest,support,comfort,foot
footsie,play,market,trading
footstool,support,foot,furniture
footwear,shoe,boot,sandal
fop,dandy,man,vain
forebear,ancestor,predecessor,heritage
forefather,ancestor,pioneer,founder
forehead,brow,face,upper
forename,given,name,personal
forensics,science,crime,investigation
foreplay,intimacy,arousal,sexual
forget,overlook,omit,neglect
forgetful,scatterbrained,absentminded,oblivious
forgetting,overlooking,omitting,neglecting
forgive,pardon,absolve,excuse
forgiven,pardoned,absolved,excused
forgiveness,pardon,absolution,mercy
forgiving,merciful,absolving,pardoning
forgot,overlook,omit,slip
forgotten,overlooked,unremembered,past
formal,proper,stiff,ceremonial
formality,ceremony,ritual,propriety
forming,shaping,developing,creating
forthcoming,ready,available,open
forthright,direct,straightforward,honest
forty,age,number,decade
forty-five,age,number,midlife
foundation,base,charity,structure
fox,animal,clever,wild
foxy,attractive,clever,sly
franciscan,monk,order,catholic
frank,honest,direct,blunt
