cue,R1,R2,R3
ceremonial,ritual,event,formal
ceremony,wedding,ritual,celebration
chain,link,metal,necklace
chair,sit,furniture,leg
chanting,song,mantra,prayer
chap,lip,cowboy,leather
chapeau,hat,fashion,headwear
chapel,church,wedding,pew
charisma,charm,appeal,magnetism
charismatic,charm,personality,influence
charitable,donation,kindness,help
charity,donation,help,community
charles,dickens,england,novel
charleston,south,carolina,city
charlotte's,web,pig,story
charm,magic,spell,attractive
charming,charisma,smile,attractive
chaste,pure,virtuous,modest
chastity,virtue,purity,abstinence
chaucer,canterbury,tale,poet
cheetah,speed,spot,fast
chelsea,london,football,blue
cheney,politics,governmant,vice
cherish,love,value,treasure
cherished,loved,valued,precious
cherub,angel,wing,heaven
cherubic,angelic,innocent,rosy
chest,heart,lung,treasure
chesterfield,sofa,couch,leather
chic,fashion,elegant,trendy
childbirth,labor,delivery,baby
chimp,banana,forest,primate
chimpanzee,primate,tree,intelligence
chin,nose,mouth,face
chino,pant,trouser,casual
chipmunk,squirrel,forest,acorn
chivalrous,knight,valor,honor
chivalry,knight,honor,courage
chopstick,eat,food,asia
christ,cross,church,faith
christen,baptize,name,ceremony
christening,baptism,church,ceremony
christian,faith,church,bible
christianity,jesus,bible,church
chum,shark,friend,fishing
church,worship,priest,altar
ciao,hello,italian,greeting
civil,right,war,society
civility,respect,manner,politeness
civilization,history,culture,progress
classic,vintage,elegant,timeless
classy,elegant,stylish,sophisticated
claw,animal,crab,lobster
cleanly,neatly,tide,organize
cleat,soccer,field,shoe
cleavage,rock,mineral,geology
clergy,priest,church,religion
clergyman,priest,church,sermon
cleric,priest,temple,healer
clint,eastwood,actor,film
clipper,haircut,trim,scissors
clitoris,pleasure,anatomy,sexual
cloak,invisible,cover,hood
clock,time,ticking,alarm
cloister,monk,quiet,church
closeness,intimacy,familiarity,proximity
closet,clothes,hanger,shelf
clot,blood,block,vein
cloth,fabric,thread,garmant
clothe,shirt,pant,dress
clothed,dressed,garmant,attire
clothes,shirt,pant,shoe
clothing,shirt,pant,dress
cloven,hoof,split,animal
coat,jacket,winter,cold
coating,paint,layer,cover
cobble,stone,path,street
cochlear,implant,hearing,auditory
cock,rooster,bird,chicken
coif,hair,style,barber
coiffure,haircut,style,barber
coliseum,rome,gladiator,arena
collapsed,building,ruin,debris
collectible,toy,antique,memorabilia
collie,dog,herding,fur
colonial,empire,settlemant,history
colosseum,rome,gladiator,arena
colt,horse,gun,west
com,computer,communication,company
comb,hair,brush,style
comfort,cozy,relax,home
comfortable,cozy,soft,warm
comforter,blanket,bed,warmth
comforting,warm,cozy,safe
comfy,cozy,warm,soft
comma,punctuation,grammar,list
commandmant,rule,guide,ethic
commit,promise,dedicate,pledge
commitmant,dedication,promise,loyalty
committed,dedicated,loyal,faithful
communion,church,faith,community
companion,friend,partner,ally
companionship,friend,trust,support
compassion,empathy,kindness,care
compassionate,kind,empathy,caring
compatriot,fellow,countryman,ally
complemant,match,pair,opposite
complexity,difficulty,chaos,problem
compliant,obedient,agreeable,submissive
complimant,praise,kindness,appreciation
complimantary,free,positive,gift
comrade,friend,ally,solidarity
conan,detective,crime,mystery
conceive,create,idea,pregnant
conception,birth,idea,pregnancy
concubine,mistress,harem,affair
condom,protection,safe,latex
confederate,civil,war,south
confess,admit,truth,guilt
confession,truth,secret,guilt
congregation,church,meeting,worship
conqueror,empire,victory,expansion
conservative,politics,tradition,right
considerate,kind,thoughtful,polite
consideration,thought,care,deliberation
constricting,snake,tight,restrict
contemporary,modern,art,current
contraception,birth control,condom,pill
contraceptive,birth control,pill,protection
contrition,remorse,penance,guilt
convenience,comfort,ease,quick
convent,nun,monastery,prayer
convert,transform,change,translate
conviction,belief,principle,judgemant
copulate,mate,breed,reproduce
copy,book,duplicate,documant
cord,wire,string,cable
cordial,friendly,pleasant,warm
corsage,flower,formal,prom
corset,lace,waist,garmant
cosmetic,makeup,beauty,skincare
costello,abbott,comedy,duo
cot,bed,crib,baby
cotton,fabric,soft,shirt
couch,sofa,relax,comfort
cougar,mountain,cat,wild
countryman,patriot,compatriot,nation
couple,love,romance,pair
courage,bravery,strength,valor
courageous,brave,strong,fearless
courteous,polite,respectful,kind
courtesy,respect,manner,politeness
cousin,family,relative,childhood
covalent,bond,atom,molecule
covenant,agreemant,promise,contract
cover,book,protect,blanket
coverage,insurance,policy,news
coverall,protection,work,clothes
covering,blanket,shield,coat
cowboy,horse,hat,boot
cowgirl,hat,boot,horse
coyote,wolf,desert,howl
cozy,warm,blanket,fire
cradle,baby,rock,sleep
cramp,pain,muscle,discomfort
crane,construction,bird,port
cravat,tie,scarf,neck
crazily,wildly,erratically,frantically
crease,fold,winkle,line
creased,folded,worn,wrinkled
creature,animal,monster,being
credible,trustworthy,reliable,believable
credo,belief,statemant,principle
credulous,gullible,naive,trusting
creed,belief,doctrine,faith
crete,greece,island,history
crib,baby,sleep,bed
crinkle,paper,wrinkle,texture
crinkled,paper,texture,wrinkle
criss,cross,puzzle,clue
critter,bug,animal,insect
croatia,dubrovnik,zagreb,adriatic
crochet,yarn,hook,stitch
cromwell,oliver,england,protector
cross,road,sign,walk
crotch,groin,pant,waist
crucifix,cross,jesus,faith
crucifixion,jesus,cross,faith
crucify,cross,nail,jesus
crumple,wrinkle,fold,paper
crumpled,paper,wrinkled,discarded
crusade,knight,holy,war
crusader,knight,armor,cross
ctrl-z,undo,keyboard,shortcut
cub,bear,team,chicago
cuckold,cheating,infidelity,shame
cuddle,hug,love,warmth
cuddly,soft,fluffy,warm
cufflink,shirt,formal,accessory
cult,religion,group,belief
cultural,heritage,tradition,diversity
culture,art,tradition,heritage
cum,seman,fluid,reproduction
cunnilingus,oral,pleasure,intimacy
cunt,offensive,slang,inappropriate
cupboard,shelf,storage,wood
cupid,love,arrow,valentine
curl,hair,wave,styling
curler,hair,style,salon
curly,hair,wave,ringlet
cursed,haunted,evil,doomed
curtain,window,shade,drape
curtsy,bow,etiquette,respect
curvaceous,curvy,voluptuous,round
curve,line,shape,angle
curvy,wavy,road,line
cushion,soft,pillow,comfort
cushioned,soft,comfortable,padded
cushy,soft,comfortable,easy
custom,personal,unique,tailored
cute,kitten,bunny,puppy
cutoff,limit,boundary,restriction
cutting,knife,scissors,paper
da,animal,nature,
dad,father,parent,care
dada,art,abstract,surreal
daddy,father,parent,care
dainty,delicate,elegant,fragile
dallas,texas,city,cowboy
dalmatian,spot,dog,puppy
dame,knight,armor,honor
damnation,hell,fire,eternity
damned,hell,curse,sin
damsel,maiden,knight,rescue
dancer,ballet,music,stage
dandles,candle,wax,light
dandy,dapper,fashionable,stylish
dapper,suit,stylish,elegant
dappled,sunlight,shade,forest
dare,brave,challenge,risk
daredevil,brave,stunt,hero
daring,brave,adventure,courage
darling,love,sweetheart,dear
darn,fix,mand,repaired
darning,manding,needle,thread
darwin,evolution,natural selection,galapagos
dash,hyphen,punctuation,line
dashed,line,broken,hyphen
dashing,fast,stylish,brave
date,fruit,calendar,romance
dating,romance,relationship,match
daughter,family,love,care
davenport,sofa,couch,city
deacon,church,service,clergy
dean,school,office,name
dear,love,letter,affection
dearest,love,affection,heart
dearly,beloved,love,affection
debonair,charming,elegant,suave
decade,ten,year,time
decency,honor,respect,dignity
decor,art,design,furnishing
decorate,adorn,embellish,beautify
decorating,paint,design,color
decorum,manner,etiquette,propriety
dee,output water,singer,stream
deer,forest,antler,wild
deify,god,worship,divine
deity,god,goddess,mythology
deletion,remove,erase,discard
deli,sandwich,meat,cheese
delta,river,triangular,land
demantia,memory,confusion,elderly
demi,lovato,music,artist
demon,evil,spirit,hell
demure,modest,shy,reserved
denier,fabric,tights,nylon
denim,jean,jacket,fabric
depreciate,value,decrease,asset
derby,race,horse,track
descendant,ancestor,heritage,lineage
desirable,attractive,wanted,sought
desmond,bishop,nobel,peace
dessicate,dry,dehydrate,arid
destroys,damage,ruin,devastate
devil,evil,hell,red
devoted,loyal,dedicated,committed
devotee,worship,religion,faith
devotion,loyalty,commitmant,passion
devout,faithful,religious,holy
dharma,karma,buddhism,teaching
dick,book,classic,whale
die,death,life,grave
dignity,respect,honor,pride
dildo,sex,toy,vibrator
dingo,australia,canine,wild
directive,command,order,policy
dirk,nowitzki,basketball,germany
discarded,trash,waste,abandoned
disciple,student,mantor,guidance
dishonorable,disgrace,shame,unethical
disobedience,defiance,rebel,protest
disrobe,undress,clothes,remove
distinguished,honor,prestige,respected
diva,song,stage,performer
divan,furniture,sofa,couch
divine,holy,godly,sacred
divinity,god,heaven,holy
divorce,separation,lawyer,custody
divorced,separation,heartbreak,lawyer
dix,ten,number,french
docile,tame,submissive,meek
doctrine,belief,faith,teaching
doe,deer,buck,fawn
dog,bark,pet,loyal
dogma,belief,principle,creed
dogmatic,rigid,strict,unyielding
doily,lace,decorative,table
dollar,money,finance,currency
domestic,home,pet,house
domesticated,pet,tame,animal
dominant,power,control,strong
don,quixote,duck,trump
dona,generous,gift,charity
donate,charity,give,help
donating,charity,gift,help
donation,charity,gift,help
donkey,animal,carry,work
donor,blood,organ,contribution
doomsday,apocalypse,end,chaos
doorman,hotel,guard,entry
dorothy,wizard,kansa,oz
dot,spot,mark,pattern
dotted,line,pattern,speckled
dotty,spot,pattern,cute
doze,sleep,nap,rest
dr,hospital,doctor,medicine
dracula,vampire,castle,transylvania
drape,curtain,window,fabric
drat,rat,trap,curse
drawer,desk,clothes,storage
dread,hair,scalp,braid
dreamboat,cruise,sea,luxury
dreamy,fantasy,imagination,whimsical
dress,clothes,fashion,style
dressed,clothes,attire,formal
dresser,clothes,drawer,bedroom
dressmaker,sewing,fabric,pattern
dressy,elegant,fancy,formal
droopy,eye,sad,saggy
duck-billed,platypus,animal,australia
duckbill,platypus,animal,beak
dude,guy,surfer,bro
dumbo,elephant,disney,ear
dungaree,overall,denim,workwear
dungeon,dragon,cave,quest
duvet,blanket,bed,warm
dy,output death,life,cold
dyke,dam,barrier,levee
décolletage,neckline,dress,elegance
eaglet,nest,hatchling,feather
earnest,sincere,serious,devoted
earnestly,sincerely,seriously,honestly
earnestness,seriousness,gravity,sincerity
earthling,human,alien,planet
east,west,sunrise,orient
easter,egg,bunny,holiday
easy,simple,quick,basic
easy-going,relaxed,chill,friendly
easygoing,relaxed,chill,friendly
echidna,spine,egg,australia
edger,lawn,tool,grass
edna,mode,incredible,superhero
effeminate,soft,gentle,feminine
eighty,retro,neon,music
ejaculate,sperm,release,climax
ejaculation,sperm,orgasm,release
elan,grace,elegance,style
elder,wisdom,experience,age
elderly,aging,senior,wisdom
elegance,grace,style,refinemant
elegant,graceful,stylish,refined
elephant,trunk,large,safari
elijah,prophet,bible,vision
elk,deer,forest,antler
ellipsis,dot,pause,omission
elope,marriage,runaway,secret
elvis,presley,graceland,music
embed,insert,integrate,include
embellish,decorate,adorn,enhance
embrace,hug,love,affection
embroidery,thread,needle,fabric
embryo,fetus,developmant,pregnancy
emily,strong,kind,intelligent
eminent,famous,notable,renowned
empathetic,caring,compassionate,understanding
empathic,understanding,compassion,listen
empathize,understand,feel,resonate
empathy,compassion,understanding,kindness
emphatic,passionate,forceful,assertive
emphatize,understand,relate,care
enamored,love,passion,affection
endangered,specie,extinction,protection
endearmant,love,affection,cherish
endocrine,hormone,gland,system
engaged,wedding,commitmant,love
engagemant,wedding,ring,commitmant
entice,lure,tempt,seduce
enticing,tempting,alluring,appealing
environed,surrounded,encircled,enclosed
eon,time,age,era
epoch,history,time,era
equine,horse,stable,mare
era,pencil,write,paper
erect,build,structure,tower
erection,construction,building,structure
eros,love,desire,passion
erotic,passion,desire,intimacy
errand,grocery,bank,laundry
erstwhile,former,past,previous
esau,jacob,twin,isaac
escort,guide,protect,accompany
estate,property,real,land
esteemed,respected,honored,dignified
estrogen,hormone,female,manopause
estuary,river,coast,tidal
etiquette,manner,politeness,decorum
eu,europe,union,policy
eucharist,communion,bread,wine
euro's,currency,europe,money
europe,france,germany,spain
european,continent,union,country
eva,green,robot,game
evangelical,church,bible,religion
evolution,change,adaptation,natural
evolve,change,grow,develop
ewe,sheep,wool,farm
ex,example,exercise,exam
ex-husband,divorce,relationship,past
ex-wife,divorce,relationship,alimony
exalt,praise,glorify,honor
executive,leader,manager,ceo
exists,be,live,real
exodus,moses,departure,plague
exquisite,luxury,art,craftsmanship
extra,bonus,additional,supplemant
extra-marital,affair,cheating,infidelity
extramarital,affair,cheating,infidelity
extremity,limb,hand,foot
eyebrow,hair,face,expression
eyelash,mascara,eye,makeup
eyelid,eye,blink,lash
eyeliner,makeup,eye,cosmetic
eyeshadow,makeup,cosmetic,palette
eyre,jane,austen,novel
fabric,cloth,textile,material
facial,skin,treatmant,care
factually,accurate,true,objective
fad,trend,craze,hype
fails,error,mistake,unsuccessful
faith,hope,belief,trust
faithful,trustworthy,loyal,devoted
faithfully,loyalty,trust,commitmant
faithfulness,loyalty,trust,devotion
faithless,betrayal,doubt,unbelief
falcon,bird,hunt,flight
fallopian,tube,ovary,uterus
family,love,home,parent
fancy,elegant,stylish,luxurious
fang,bite,werewolf,vampire
farewell,goodbye,departure,parting
fashion,clothing,style,runway
fashionable,style,trendy,clothing
fashioned,old,vintage,classic
fashionista,style,trendy,clothing
fasten,secure,lock,tighten
fastener,screw,nail,bolt
fastening,clamp,screw,bolt
fate,destiny,fortune,life
father,dad,parent,care
fatherly,caring,strong,wise
favor,kindness,help,gratitude
fawn,deer,beige,young
fealty,loyalty,allegiance,devotion
feared,scared,terror,unknown
fearless,brave,strong,courage
feature,attribute,aspect,trait
fecund,fruitful,productive,abundant
fedora,hat,linux,style
feeding,food,animal,care
felicitation,congratulation,celebration,joy
feline,cat,tiger,whisker
fella,guy,friend,dude
fellatio,oral,sex,pleasure
fellow,friend,colleague,peer
fellowship,friendship,group,adventure
felt,fabric,soft,wool
female,woman,girl,lady
feminine,woman,grace,beauty
feminism,equality,right,woman
feminist,equality,woman,right
feral,wild,untamed,animal
ferret,pet,playful,furry
fertile,soil,green,growth
fertility,growth,birth,soil
fertilization,egg,sperm,conception
fetish,desire,obsession,passion
fetus,baby,womb,pregnancy
fiancee,wedding,ring,partner
fiancé,engagemant,wedding,partner
fiber,diet,thread,health
fidelity,loyalty,trust,commitmant
fifty,number,age,year
fighter,boxer,combat,warrior
filly,horse,young,female
filmy,movie,cinema,screen
finch,bird,darwin,beak
finesse,grace,elegance,skill
fink,rat,pest,rodent
finland,helsinki,northern,sauna
firehouse,fire,truck,hydrant
fishtail,fish,tail,movemant
fit,clothes,size,tailor
fitted,tailored,clothing,custom
fitting,suit,tailor,measure
five,number,finger,quintet
flaccid,soft,weak,limp
flannel,shirt,plaid,warm
flapper,jazz,1920s,charleston
flare,signal,distress,rescue
flatmate,roommate,house,rent
flattering,complimant,praise,admiration
flax,fiber,linen,plant
fleece,wool,sheep,warm
fleetwood,mac,music,band
fling,throw,launch,toss
flipflops,sandal,beach,summer
flirt,romance,tease,
flirting,attraction,flattery,romance
flock,sheep,bird,group
flooring,tile,hardwood,carpet
floppy,disk,drive,computer
fluff,soft,pillow,fur
fluffy,soft,cute,warm
flung,tossed,thrown,air
foal,horse,young,colt
foaming,bubble,shampoo,soap
fold,paper,origami,bend
folded,paper,origami,crease
folding,paper,origami,crease
folk,people,community,friend
follicle,hair,scalp,root
follower,social,medium,network
follows,lead,trail,shadow
fond,love,affection,care
fondle,touch,caress,pet
fondness,love,affection,warmth
foodie,gourmet,dining,cuisine
foot,toe,shoe,walk
footprint,foot,shoe,track
footrest,chair,comfort,leg
footsie,play,flirt,game
footstool,furniture,rest,leg
footwear,shoe,sandal,boot
fop,dandy,fashionable,elegant
forebear,ancestor,heritage,history
forefather,ancestor,heritage,tradition
forehead,face,head,eye
forename,name,first,personal
forensics,investigation,evidence,criminal
foreplay,intimacy,arousal,romance
forget,memory,erase,loss
forgetful,memory,absentminded,recall
forgetting,memory,loss,amnesia
forgive,apologize,mercy,forget
forgiven,redemption,peace,mercy
forgiveness,mercy,apology,healing
forgiving,kindness,mercy,understanding
forgot,memory,lost,remember
forgotten,memory,lost,past
formal,suit,tie,dress
formality,etiquette,protocol,dress
forming,shaping,creating,building
forthcoming,upcoming,future,imminent
forthright,honest,direct,straight
